Sexo	Total Nacional	Comunidades y Ciudades Autónomas	Enfermedades	Sí o no	Total
Ambos sexos	Total		Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	TOTAL	100
Ambos sexos	Total		Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	Sí	2.68
Ambos sexos	Total		Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	No	97.32
Ambos sexos	Total		Diabetes	TOTAL	100
Ambos sexos	Total		Diabetes	Sí	7.51
Ambos sexos	Total		Diabetes	No	92.49
Ambos sexos	Total		Úlcera de estómago o duodeno	TOTAL	100
Ambos sexos	Total		Úlcera de estómago o duodeno	Sí	1.32
Ambos sexos	Total		Úlcera de estómago o duodeno	No	98.68
Ambos sexos	Total		Incontinencia urinaria o problemas de control de la orina	TOTAL	100
Ambos sexos	Total		Incontinencia urinaria o problemas de control de la orina	Sí	3.23
Ambos sexos	Total		Incontinencia urinaria o problemas de control de la orina	No	96.77
Ambos sexos	Total		Colesterol alto	TOTAL	100
Ambos sexos	Total		Colesterol alto	Sí	15.29
Ambos sexos	Total		Colesterol alto	No	84.71
Ambos sexos	Total		Cataratas	TOTAL	100
Ambos sexos	Total		Cataratas	Sí	4.13
Ambos sexos	Total		Cataratas	No	95.87
Ambos sexos	Total		Problemas crónicos de piel	TOTAL	100
Ambos sexos	Total		Problemas crónicos de piel	Sí	3.91
Ambos sexos	Total		Problemas crónicos de piel	No	96.09
Ambos sexos	Total		Estreñimiento crónico	TOTAL	100
Ambos sexos	Total		Estreñimiento crónico	Sí	2.76
Ambos sexos	Total		Estreñimiento crónico	No	97.24
Ambos sexos	Total		Cirrosis. disfunción hepática	TOTAL	100
Ambos sexos	Total		Cirrosis. disfunción hepática	Sí	0.67
Ambos sexos	Total		Cirrosis. disfunción hepática	No	99.33
Ambos sexos	Total		Depresión	TOTAL	100
Ambos sexos	Total		Depresión	Sí	5.28
Ambos sexos	Total		Depresión	No	94.72
Ambos sexos	Total		Ansiedad crónica	TOTAL	100
Ambos sexos	Total		Ansiedad crónica	Sí	5.84
Ambos sexos	Total		Ansiedad crónica	No	94.16
Ambos sexos	Total		Otros problemas mentales	TOTAL	100
Ambos sexos	Total		Otros problemas mentales	Sí	1.69
Ambos sexos	Total		Otros problemas mentales	No	98.31
Ambos sexos	Total		Ictus (embolia. infarto cerebral. hemorragia cerebral)	TOTAL	100
Ambos sexos	Total		Ictus (embolia. infarto cerebral. hemorragia cerebral)	Sí	0.68
Ambos sexos	Total		Ictus (embolia. infarto cerebral. hemorragia cerebral)	No	99.32
Ambos sexos	Total		Migraña o dolor de cabeza frecuente	TOTAL	100
Ambos sexos	Total		Migraña o dolor de cabeza frecuente	Sí	6.75
Ambos sexos	Total		Migraña o dolor de cabeza frecuente	No	93.25
Ambos sexos	Total		Hemorroides	TOTAL	100
Ambos sexos	Total		Hemorroides	Sí	3.06
Ambos sexos	Total		Hemorroides	No	96.94
Ambos sexos	Total		Tumores malignos	TOTAL	100
Ambos sexos	Total		Tumores malignos	Sí	1.66
Ambos sexos	Total		Tumores malignos	No	98.34
Ambos sexos	Total		Osteoporosis	TOTAL	100
Ambos sexos	Total		Osteoporosis	Sí	3.29
Ambos sexos	Total		Osteoporosis	No	96.71
Ambos sexos	Total		Problemas de tiroides	TOTAL	100
Ambos sexos	Total		Problemas de tiroides	Sí	5.19
Ambos sexos	Total		Problemas de tiroides	No	94.81
Ambos sexos	Total		Problemas de riñón	TOTAL	100
Ambos sexos	Total		Problemas de riñón	Sí	2.41
Ambos sexos	Total		Problemas de riñón	No	97.59
Ambos sexos	Total		Problemas de próstata (solo hombres)	TOTAL	0
Ambos sexos	Total		Problemas de próstata (solo hombres)	Sí	0
Ambos sexos	Total		Problemas de próstata (solo hombres)	No	0
Ambos sexos	Total		Problemas del periodo menopáusico (solo mujeres)	TOTAL	0
Ambos sexos	Total		Problemas del periodo menopáusico (solo mujeres)	Sí	0
Ambos sexos	Total		Problemas del periodo menopáusico (solo mujeres)	No	0
Ambos sexos	Total		Lesiones o defectos permanentes causados por un accidente	TOTAL	100
Ambos sexos	Total		Lesiones o defectos permanentes causados por un accidente	Sí	2.84
Ambos sexos	Total		Lesiones o defectos permanentes causados por un accidente	No	97.16
Ambos sexos	Total	Andalucía	Tensión alta	TOTAL	100
Ambos sexos	Total	Andalucía	Tensión alta	Sí	20.26
Ambos sexos	Total	Andalucía	Tensión alta	No	79.44
Ambos sexos	Total	Andalucía	Infarto de miocardio	TOTAL	100
Ambos sexos	Total	Andalucía	Infarto de miocardio	Sí	1.18
Ambos sexos	Total	Andalucía	Infarto de miocardio	No	98.82
Ambos sexos	Total	Andalucía	Angina de pecho. enfermedad coronaria	TOTAL	100
Ambos sexos	Total	Andalucía	Angina de pecho. enfermedad coronaria	Sí	1.16
Ambos sexos	Total	Andalucía	Angina de pecho. enfermedad coronaria	No	98.84
Ambos sexos	Total	Andalucía	Otras enfermedades del corazón	TOTAL	100
Ambos sexos	Total	Andalucía	Otras enfermedades del corazón	Sí	3.9
Ambos sexos	Total	Andalucía	Otras enfermedades del corazón	No	96.1
Ambos sexos	Total	Andalucía	Varices en las piernas	TOTAL	100
Ambos sexos	Total	Andalucía	Varices en las piernas	Sí	5.94
Ambos sexos	Total	Andalucía	Varices en las piernas	No	94.06
Ambos sexos	Total	Andalucía	Artrosis (excluyendo artritis)	TOTAL	100
Ambos sexos	Total	Andalucía	Artrosis (excluyendo artritis)	Sí	12.17
Ambos sexos	Total	Andalucía	Artrosis (excluyendo artritis)	No	87.83
Ambos sexos	Total	Andalucía	Dolor de espalda crónico (cervical)	TOTAL	100
Ambos sexos	Total	Andalucía	Dolor de espalda crónico (cervical)	Sí	9.43
Ambos sexos	Total	Andalucía	Dolor de espalda crónico (cervical)	No	90.57
Ambos sexos	Total	Andalucía	Dolor de espalda crónico (lumbar)	TOTAL	100
Ambos sexos	Total	Andalucía	Dolor de espalda crónico (lumbar)	Sí	10.46
Ambos sexos	Total	Andalucía	Dolor de espalda crónico (lumbar)	No	89.54
Ambos sexos	Total	Andalucía	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	TOTAL	100
Ambos sexos	Total	Andalucía	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	Sí	8.62
Ambos sexos	Total	Andalucía	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	No	91.38
Ambos sexos	Total	Andalucía	Asma (incluida asma alérgica)	TOTAL	100
Ambos sexos	Total	Andalucía	Asma (incluida asma alérgica)	Sí	3.24
Ambos sexos	Total	Andalucía	Asma (incluida asma alérgica)	No	96.76
Ambos sexos	Total	Andalucía	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	TOTAL	100
Ambos sexos	Total	Andalucía	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	Sí	2.57
Ambos sexos	Total	Andalucía	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	No	97.43
Ambos sexos	Total	Andalucía	Diabetes	TOTAL	100
Ambos sexos	Total	Andalucía	Diabetes	Sí	8.08
Ambos sexos	Total	Andalucía	Diabetes	No	91.92
Ambos sexos	Total	Andalucía	Úlcera de estómago o duodeno	TOTAL	100
Ambos sexos	Total	Andalucía	Úlcera de estómago o duodeno	Sí	1.1
Ambos sexos	Total	Andalucía	Úlcera de estómago o duodeno	No	98.9
Ambos sexos	Total	Andalucía	Incontinencia urinaria o problemas de control de la orina	TOTAL	100
Ambos sexos	Total	Andalucía	Incontinencia urinaria o problemas de control de la orina	Sí	1.93
Ambos sexos	Total	Andalucía	Incontinencia urinaria o problemas de control de la orina	No	98.07
Ambos sexos	Total	Andalucía	Colesterol alto	TOTAL	100
Ambos sexos	Total	Andalucía	Colesterol alto	Sí	12.79
Ambos sexos	Total	Andalucía	Colesterol alto	No	87.21
Ambos sexos	Total	Andalucía	Cataratas	TOTAL	100
Ambos sexos	Total	Andalucía	Cataratas	Sí	4.09
Ambos sexos	Total	Andalucía	Cataratas	No	95.91
Ambos sexos	Total	Andalucía	Problemas crónicos de piel	TOTAL	100
Ambos sexos	Total	Andalucía	Problemas crónicos de piel	Sí	2.81
Ambos sexos	Total	Andalucía	Problemas crónicos de piel	No	97.19
Ambos sexos	Total	Andalucía	Estreñimiento crónico	TOTAL	100
Ambos sexos	Total	Andalucía	Estreñimiento crónico	Sí	1.96
Ambos sexos	Total	Andalucía	Estreñimiento crónico	No	98.04
Ambos sexos	Total	Andalucía	Cirrosis. disfunción hepática	TOTAL	100
Ambos sexos	Total	Andalucía	Cirrosis. disfunción hepática	Sí	0.5
Ambos sexos	Total	Andalucía	Cirrosis. disfunción hepática	No	99.5
Ambos sexos	Total	Andalucía	Depresión	TOTAL	100
Ambos sexos	Total	Andalucía	Depresión	Sí	4.63
Ambos sexos	Total	Andalucía	Depresión	No	95.37
Ambos sexos	Total	Andalucía	Ansiedad crónica	TOTAL	100
Ambos sexos	Total	Andalucía	Ansiedad crónica	Sí	4.72
Ambos sexos	Total	Andalucía	Ansiedad crónica	No	95.28
Ambos sexos	Total	Andalucía	Otros problemas mentales	TOTAL	100
Ambos sexos	Total	Andalucía	Otros problemas mentales	Sí	1.07
Ambos sexos	Total	Andalucía	Otros problemas mentales	No	98.93
Ambos sexos	Total	Andalucía	Ictus (embolia. infarto cerebral. hemorragia cerebral)	TOTAL	100
Ambos sexos	Total	Andalucía	Ictus (embolia. infarto cerebral. hemorragia cerebral)	Sí	0.82
Ambos sexos	Total	Andalucía	Ictus (embolia. infarto cerebral. hemorragia cerebral)	No	99.18
Ambos sexos	Total	Andalucía	Migraña o dolor de cabeza frecuente	TOTAL	100
Ambos sexos	Total	Andalucía	Migraña o dolor de cabeza frecuente	Sí	4.42
Ambos sexos	Total	Andalucía	Migraña o dolor de cabeza frecuente	No	95.58
Ambos sexos	Total	Andalucía	Hemorroides	TOTAL	100
Ambos sexos	Total	Andalucía	Hemorroides	Sí	2.25
Ambos sexos	Total	Andalucía	Hemorroides	No	97.75
Ambos sexos	Total	Andalucía	Tumores malignos	TOTAL	100
Ambos sexos	Total	Andalucía	Tumores malignos	Sí	1.1
Ambos sexos	Total	Andalucía	Tumores malignos	No	98.9
Ambos sexos	Total	Andalucía	Osteoporosis	TOTAL	100
Ambos sexos	Total	Andalucía	Osteoporosis	Sí	2.3
Ambos sexos	Total	Andalucía	Osteoporosis	No	97.7
Ambos sexos	Total	Andalucía	Problemas de tiroides	TOTAL	100
Ambos sexos	Total	Andalucía	Problemas de tiroides	Sí	4.58
Ambos sexos	Total	Andalucía	Problemas de tiroides	No	95.42
Ambos sexos	Total	Andalucía	Problemas de riñón	TOTAL	100
Ambos sexos	Total	Andalucía	Problemas de riñón	Sí	1.76
Ambos sexos	Total	Andalucía	Problemas de riñón	No	98.24
Ambos sexos	Total	Andalucía	Problemas de próstata (solo hombres)	TOTAL	0
Ambos sexos	Total	Andalucía	Problemas de próstata (solo hombres)	Sí	0
Ambos sexos	Total	Andalucía	Problemas de próstata (solo hombres)	No	0
Ambos sexos	Total	Andalucía	Problemas del periodo menopáusico (solo mujeres)	TOTAL	0
Ambos sexos	Total	Andalucía	Problemas del periodo menopáusico (solo mujeres)	Sí	0
Ambos sexos	Total	Andalucía	Problemas del periodo menopáusico (solo mujeres)	No	0
Ambos sexos	Total	Andalucía	Lesiones o defectos permanentes causados por un accidente	TOTAL	100
Ambos sexos	Total	Andalucía	Lesiones o defectos permanentes causados por un accidente	Sí	1.19
Ambos sexos	Total	Andalucía	Lesiones o defectos permanentes causados por un accidente	No	98.81
Ambos sexos	Total	Aragón	Tensión alta	TOTAL	100
Ambos sexos	Total	Aragón	Tensión alta	Sí	20.46
Ambos sexos	Total	Aragón	Tensión alta	No	79.45
Ambos sexos	Total	Aragón	Infarto de miocardio	TOTAL	100
Ambos sexos	Total	Aragón	Infarto de miocardio	Sí	0.36
Ambos sexos	Total	Aragón	Infarto de miocardio	No	99.64
Ambos sexos	Total	Aragón	Angina de pecho. enfermedad coronaria	TOTAL	100
Ambos sexos	Total	Aragón	Angina de pecho. enfermedad coronaria	Sí	0.8
Ambos sexos	Total	Aragón	Angina de pecho. enfermedad coronaria	No	99.2
Ambos sexos	Total	Aragón	Otras enfermedades del corazón	TOTAL	100
Ambos sexos	Total	Aragón	Otras enfermedades del corazón	Sí	3.57
Ambos sexos	Total	Aragón	Otras enfermedades del corazón	No	96.43
Ambos sexos	Total	Aragón	Varices en las piernas	TOTAL	100
Ambos sexos	Total	Aragón	Varices en las piernas	Sí	7.66
Ambos sexos	Total	Aragón	Varices en las piernas	No	92.34
Ambos sexos	Total	Aragón	Artrosis (excluyendo artritis)	TOTAL	100
Ambos sexos	Total	Aragón	Artrosis (excluyendo artritis)	Sí	15.91
Ambos sexos	Total	Aragón	Artrosis (excluyendo artritis)	No	84.09
Ambos sexos	Total	Aragón	Dolor de espalda crónico (cervical)	TOTAL	100
Ambos sexos	Total	Aragón	Dolor de espalda crónico (cervical)	Sí	9.72
Ambos sexos	Total	Aragón	Dolor de espalda crónico (cervical)	No	90.28
Ambos sexos	Total	Aragón	Dolor de espalda crónico (lumbar)	TOTAL	100
Ambos sexos	Total	Aragón	Dolor de espalda crónico (lumbar)	Sí	10.97
Ambos sexos	Total	Aragón	Dolor de espalda crónico (lumbar)	No	89.03
Ambos sexos	Total	Aragón	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	TOTAL	100
Ambos sexos	Total	Aragón	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	Sí	13.53
Ambos sexos	Total	Aragón	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	No	86.47
Ambos sexos	Total	Aragón	Asma (incluida asma alérgica)	TOTAL	100
Ambos sexos	Total	Aragón	Asma (incluida asma alérgica)	Sí	2.63
Ambos sexos	Total	Aragón	Asma (incluida asma alérgica)	No	97.37
Ambos sexos	Total	Aragón	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	TOTAL	100
Ambos sexos	Total	Aragón	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	Sí	2.03
Ambos sexos	Total	Aragón	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	No	97.97
Ambos sexos	Total	Aragón	Diabetes	TOTAL	100
Ambos sexos	Total	Aragón	Diabetes	Sí	6.59
Ambos sexos	Total	Aragón	Diabetes	No	93.41
Ambos sexos	Total	Aragón	Úlcera de estómago o duodeno	TOTAL	100
Ambos sexos	Total	Aragón	Úlcera de estómago o duodeno	Sí	0.62
Ambos sexos	Total	Aragón	Úlcera de estómago o duodeno	No	99.38
Ambos sexos	Total	Aragón	Incontinencia urinaria o problemas de control de la orina	TOTAL	100
Ambos sexos	Total	Aragón	Incontinencia urinaria o problemas de control de la orina	Sí	4.27
Ambos sexos	Total	Aragón	Incontinencia urinaria o problemas de control de la orina	No	95.73
Ambos sexos	Total	Aragón	Colesterol alto	TOTAL	100
Ambos sexos	Total	Aragón	Colesterol alto	Sí	17.85
Ambos sexos	Total	Aragón	Colesterol alto	No	82.15
Ambos sexos	Total	Aragón	Cataratas	TOTAL	100
Ambos sexos	Total	Aragón	Cataratas	Sí	4.39
Ambos sexos	Total	Aragón	Cataratas	No	95.61
Ambos sexos	Total	Aragón	Problemas crónicos de piel	TOTAL	100
Ambos sexos	Total	Aragón	Problemas crónicos de piel	Sí	3.53
Ambos sexos	Total	Aragón	Problemas crónicos de piel	No	96.47
Ambos sexos	Total	Aragón	Estreñimiento crónico	TOTAL	100
Ambos sexos	Total	Aragón	Estreñimiento crónico	Sí	1.69
Ambos sexos	Total	Aragón	Estreñimiento crónico	No	98.31
Ambos sexos	Total	Aragón	Cirrosis. disfunción hepática	TOTAL	100
Ambos sexos	Total	Aragón	Cirrosis. disfunción hepática	Sí	0.56
Ambos sexos	Total	Aragón	Cirrosis. disfunción hepática	No	99.44
Ambos sexos	Total	Aragón	Depresión	TOTAL	100
Ambos sexos	Total	Aragón	Depresión	Sí	3.57
Ambos sexos	Total	Aragón	Depresión	No	96.43
Ambos sexos	Total	Aragón	Ansiedad crónica	TOTAL	100
Ambos sexos	Total	Aragón	Ansiedad crónica	Sí	4.71
Ambos sexos	Total	Aragón	Ansiedad crónica	No	95.29
Ambos sexos	Total	Aragón	Otros problemas mentales	TOTAL	100
Ambos sexos	Total	Aragón	Otros problemas mentales	Sí	1.01
Ambos sexos	Total	Aragón	Otros problemas mentales	No	98.99
Ambos sexos	Total	Aragón	Ictus (embolia. infarto cerebral. hemorragia cerebral)	TOTAL	100
Ambos sexos	Total	Aragón	Ictus (embolia. infarto cerebral. hemorragia cerebral)	Sí	0.81
Ambos sexos	Total	Aragón	Ictus (embolia. infarto cerebral. hemorragia cerebral)	No	99.19
Ambos sexos	Total	Aragón	Migraña o dolor de cabeza frecuente	TOTAL	100
Ambos sexos	Total	Aragón	Migraña o dolor de cabeza frecuente	Sí	6.63
Ambos sexos	Total	Aragón	Migraña o dolor de cabeza frecuente	No	93.37
Ambos sexos	Total	Aragón	Hemorroides	TOTAL	100
Ambos sexos	Total	Aragón	Hemorroides	Sí	3.01
Ambos sexos	Total	Aragón	Hemorroides	No	96.99
Ambos sexos	Total	Aragón	Tumores malignos	TOTAL	100
Ambos sexos	Total	Aragón	Tumores malignos	Sí	2.3
Ambos sexos	Total	Aragón	Tumores malignos	No	97.7
Ambos sexos	Total	Aragón	Osteoporosis	TOTAL	100
Ambos sexos	Total	Aragón	Osteoporosis	Sí	4.39
Ambos sexos	Total	Aragón	Osteoporosis	No	95.61
Ambos sexos	Total	Aragón	Problemas de tiroides	TOTAL	100
Ambos sexos	Total	Aragón	Problemas de tiroides	Sí	5.3
Ambos sexos	Total	Aragón	Problemas de tiroides	No	94.7
Ambos sexos	Total	Aragón	Problemas de riñón	TOTAL	100
Ambos sexos	Total	Aragón	Problemas de riñón	Sí	2.28
Ambos sexos	Total	Aragón	Problemas de riñón	No	97.72
Ambos sexos	Total	Aragón	Problemas de próstata (solo hombres)	TOTAL	0
Ambos sexos	Total	Aragón	Problemas de próstata (solo hombres)	Sí	0
Ambos sexos	Total	Aragón	Problemas de próstata (solo hombres)	No	0
Ambos sexos	Total	Aragón	Problemas del periodo menopáusico (solo mujeres)	TOTAL	0
Ambos sexos	Total	Aragón	Problemas del periodo menopáusico (solo mujeres)	Sí	0
Ambos sexos	Total	Aragón	Problemas del periodo menopáusico (solo mujeres)	No	0
Ambos sexos	Total	Aragón	Lesiones o defectos permanentes causados por un accidente	TOTAL	100
Ambos sexos	Total	Aragón	Lesiones o defectos permanentes causados por un accidente	Sí	0.75
Ambos sexos	Total	Aragón	Lesiones o defectos permanentes causados por un accidente	No	99.25
Ambos sexos	Total	Asturias (Principado de)	Tensión alta	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Tensión alta	Sí	17.58
Ambos sexos	Total	Asturias (Principado de)	Tensión alta	No	80.39
Ambos sexos	Total	Asturias (Principado de)	Infarto de miocardio	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Infarto de miocardio	Sí	0.7
Ambos sexos	Total	Asturias (Principado de)	Infarto de miocardio	No	99.3
Ambos sexos	Total	Asturias (Principado de)	Angina de pecho. enfermedad coronaria	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Angina de pecho. enfermedad coronaria	Sí	1.08
Ambos sexos	Total	Asturias (Principado de)	Angina de pecho. enfermedad coronaria	No	98.92
Ambos sexos	Total	Asturias (Principado de)	Otras enfermedades del corazón	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Otras enfermedades del corazón	Sí	3.22
Ambos sexos	Total	Asturias (Principado de)	Otras enfermedades del corazón	No	96.78
Ambos sexos	Total	Asturias (Principado de)	Varices en las piernas	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Varices en las piernas	Sí	14.31
Ambos sexos	Total	Asturias (Principado de)	Varices en las piernas	No	85.69
Ambos sexos	Total	Asturias (Principado de)	Artrosis (excluyendo artritis)	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Artrosis (excluyendo artritis)	Sí	28.73
Ambos sexos	Total	Asturias (Principado de)	Artrosis (excluyendo artritis)	No	71.27
Ambos sexos	Total	Asturias (Principado de)	Dolor de espalda crónico (cervical)	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Dolor de espalda crónico (cervical)	Sí	23.18
Ambos sexos	Total	Asturias (Principado de)	Dolor de espalda crónico (cervical)	No	76.82
Ambos sexos	Total	Asturias (Principado de)	Dolor de espalda crónico (lumbar)	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Dolor de espalda crónico (lumbar)	Sí	24.04
Ambos sexos	Total	Asturias (Principado de)	Dolor de espalda crónico (lumbar)	No	75.96
Ambos sexos	Total	Asturias (Principado de)	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	Sí	12.45
Ambos sexos	Total	Asturias (Principado de)	Alergia crónica. como rinitis. conjuntivitis o dermatitis alérgica. alergia alimentaria o de otro tipo (asma alérgica excluida)	No	87.55
Ambos sexos	Total	Asturias (Principado de)	Asma (incluida asma alérgica)	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Asma (incluida asma alérgica)	Sí	5.6
Ambos sexos	Total	Asturias (Principado de)	Asma (incluida asma alérgica)	No	94.4
Ambos sexos	Total	Asturias (Principado de)	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	Sí	3.25
Ambos sexos	Total	Asturias (Principado de)	Bronquitis crónica. enfisema. enfermedad pulmonar obstructiva crónica (EPOC)	No	96.75
Ambos sexos	Total	Asturias (Principado de)	Diabetes	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Diabetes	Sí	7.24
Ambos sexos	Total	Asturias (Principado de)	Diabetes	No	92.76
Ambos sexos	Total	Asturias (Principado de)	Úlcera de estómago o duodeno	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Úlcera de estómago o duodeno	Sí	2.88
Ambos sexos	Total	Asturias (Principado de)	Úlcera de estómago o duodeno	No	97.12
Ambos sexos	Total	Asturias (Principado de)	Incontinencia urinaria o problemas de control de la orina	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Incontinencia urinaria o problemas de control de la orina	Sí	5.28
Ambos sexos	Total	Asturias (Principado de)	Incontinencia urinaria o problemas de control de la orina	No	94.72
Ambos sexos	Total	Asturias (Principado de)	Colesterol alto	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Colesterol alto	Sí	18.92
Ambos sexos	Total	Asturias (Principado de)	Colesterol alto	No	81.08
Ambos sexos	Total	Asturias (Principado de)	Cataratas	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Cataratas	Sí	6.32
Ambos sexos	Total	Asturias (Principado de)	Cataratas	No	93.68
Ambos sexos	Total	Asturias (Principado de)	Problemas crónicos de piel	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Problemas crónicos de piel	Sí	5.81
Ambos sexos	Total	Asturias (Principado de)	Problemas crónicos de piel	No	94.19
Ambos sexos	Total	Asturias (Principado de)	Estreñimiento crónico	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Estreñimiento crónico	Sí	4.03
Ambos sexos	Total	Asturias (Principado de)	Estreñimiento crónico	No	95.97
Ambos sexos	Total	Asturias (Principado de)	Cirrosis. disfunción hepática	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Cirrosis. disfunción hepática	Sí	0.94
Ambos sexos	Total	Asturias (Principado de)	Cirrosis. disfunción hepática	No	99.06
Ambos sexos	Total	Asturias (Principado de)	Depresión	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Depresión	Sí	9.13
Ambos sexos	Total	Asturias (Principado de)	Depresión	No	90.87
Ambos sexos	Total	Asturias (Principado de)	Ansiedad crónica	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Ansiedad crónica	Sí	6.78
Ambos sexos	Total	Asturias (Principado de)	Ansiedad crónica	No	93.22
Ambos sexos	Total	Asturias (Principado de)	Otros problemas mentales	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Otros problemas mentales	Sí	2.17
Ambos sexos	Total	Asturias (Principado de)	Otros problemas mentales	No	97.83
Ambos sexos	Total	Asturias (Principado de)	Ictus (embolia. infarto cerebral. hemorragia cerebral)	TOTAL	100
Ambos sexos	Total	Asturias (Principado de)	Ictus (embolia. infarto cerebral. hemorragia cerebral)	Sí	0.84
Ambos sexos	Total	Asturias (Principado de)	Ictus (embolia. infarto cerebral. hemorragia cerebral)	No	99.16
Ambos sexos	Total	Asturias (Principado de)	Migraña o dolor de cabeza frecuente	TOTAL	100
